cpcode,capacity_group,region_num,endpoint_name,timestamp,in_utilization,in_demand,in_dropped_bytes,out_utilization,out_demand,out_dropped_bytes
2222,5,95,955,"Sat, 15 Aug 2015 10:31:20 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:31:20 GMT",1031190,1031190,0,2444,2444,0
2222,7,90,907,"Sat, 15 Aug 2015 10:31:20 GMT",1031190,1033587,0,2444,2444,0
2222,6,90,906,"Sat, 15 Aug 2015 10:31:20 GMT",1031222,1031222,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:31:26 GMT",1993750,3091484,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:31:26 GMT",1033619,1033619,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:31:26 GMT",1016841,1031222,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:31:26 GMT",1012048,1033619,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:31:32 GMT",1992300,3090313,0,19827,34764,0
2222,8,91,918,"Sat, 15 Aug 2015 10:31:32 GMT",1032336,1032336,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:31:32 GMT",1037161,1034764,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:31:32 GMT",1035116,1032720,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:31:38 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:31:38 GMT",1033619,1033619,0,4806,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:31:38 GMT",1031222,1031222,0,4806,4806,0
2222,6,90,906,"Sat, 15 Aug 2015 10:31:38 GMT",1031427,1031427,0,2444,2444,0
2222,5,95,955,"Sat, 15 Aug 2015 10:31:44 GMT",1993750,3093881,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:31:44 GMT",1031222,1031222,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:31:44 GMT",1035084,1035084,0,0,0,0
2222,6,90,906,"Sat, 15 Aug 2015 10:31:44 GMT",1031222,1033619,0,4806,4806,0
2222,5,95,955,"Sat, 15 Aug 2015 10:31:50 GMT",1992281,3090016,0,0,0,0
2222,8,91,918,"Sat, 15 Aug 2015 10:31:50 GMT",1031222,1033619,0,0,0,0
2222,7,90,907,"Sat, 15 Aug 2015 10:31:50 GMT",1014412,1031190,0,12659,15020,0
2222,6,90,906,"Sat, 15 Aug 2015 10:31:50 GMT",1016841,1031222,0,0,0,0
2222,5,95,955,"Sat, 15 Aug 2015 10:31:56 GMT",1992281,3090016,0,9529,7168,0
2222,8,91,918,"Sat, 15 Aug 2015 10:31:56 GMT",1031209,1031209,0,9529,4806,0
2222,7,90,907,"Sat, 15 Aug 2015 10:31:56 GMT",1031222,1031222,0,0,0,0
